Gene	F_Hom	E_Hom	D_Hom	C_Wt	B_Wt	A_Wt
Pramel	0	0	0	0	0	0
Pramel1	0	0	0	0	0	0
Pramel3	1	0	1	0	0	0
Pramel4	0	0	0	0	0	0
Pramel5	0	0	0	0	0	0
Pramel6	0	0	0	0	0	0
Pramel7	0	0	0	0	0	0
Prap1	0	2	0	0	0	0
Prb1	0	0	0	0	0	0
Prc1	329	1064	1270	132	97	85
Prcc	1460	1402	1691	1023	994	899
Prcp	2198	3085	3543	1269	1113	972
Prdm1	258	300	290	204	215	232
Prdm10	81	121	97	42	63	52
Prdm11	473	531	438	312	326	275
Prdm12	0	0	0	0	0	0
Prdm13	0	0	0	0	0	0
Prdm14	0	0	0	0	1	0
Prdm15	224	230	243	119	137	122
Prdm16	581	617	576	410	581	558
Prdm2	2228	2353	2280	1377	1529	1272
Prdm4	628	719	656	400	438	412
Prdm5	69	72	83	58	48	63
Prdm6	708	615	612	444	482	473
Prdm8	292	134	223	309	175	170
Prdm9	32	51	44	20	25	35
Prdx1	7107	5633	6633	4014	4067	4901
Prdx2	3646	3182	3876	2155	1952	2010
Prdx2-rs3	13	8	8	5	8	1
Prdx3	1102	1099	1145	593	646	682
Prdx4	1047	1190	1420	698	697	619
Prdx5	2462	2385	2698	1754	1642	1909
Prdx6	13548	14165	11902	9261	11843	14225
Prdx6-ps2	11	29	11	9	12	23
Prdx6b	143	153	117	95	104	102
Preb	1109	1064	1154	738	829	792
Prelid1	2992	2902	3589	2066	1988	1705
Prelid2	44	34	27	24	24	11
Prelp	8631	8846	7565	6773	7305	6735
Prep	2532	2462	2303	1432	1503	1392
Prepl	545	606	577	345	428	387
Prex1	1796	2521	2757	1149	1192	824
Prex2	4604	6197	4826	2449	2702	2792
Prf1	189	206	391	174	130	66
Prg2	67	38	55	17	9	2
Prg3	10	4	5	0	0	0
Prg4	57	78	224	32	277	29
Prh1	0	0	0	0	0	0
Prickle1	2246	2230	1832	1725	1587	1345
Prickle2	2245	2915	2359	1703	1784	1684
Prickle3	176	230	238	129	179	145
Prickle4	1	1	1	0	0	0
Prim1	95	224	214	73	57	73
Prim2	134	206	236	94	74	84
Prima1	5	8	1	4	2	2
Primpol	173	200	172	87	104	99
Prkaa1	879	975	797	442	528	550
Prkaa2	515	588	500	291	350	337
Prkab1	1383	1252	1265	959	939	899
Prkab2	272	333	301	172	229	206
Prkaca	2523	2213	2232	1665	1725	1634
Prkaca-ps1	16	21	7	11	7	6
Prkacb	2234	2428	2285	1358	1548	1349
Prkag1	1177	1171	1034	867	850	951
Prkag2	729	663	776	428	537	519
Prkag2os1	0	0	0	0	0	0
Prkag2os2	0	0	2	0	1	0
Prkag3	161	115	154	115	142	134
Prkar1a	8493	8386	9018	5235	5557	5245
Prkar1b	580	540	519	423	493	433
Prkar2a	2774	3121	3024	1603	2092	2220
Prkar2b	721	906	725	417	432	421
Prkca	920	1056	799	549	657	650
Prkcb	413	553	513	231	254	178
Prkcd	1824	2654	3299	1214	1484	1209
Prkcdbp	1636	1507	1756	1324	1260	1240
Prkce	1835	2183	1910	1241	1439	1464
Prkcg	50	67	60	41	39	35
Prkch	1856	2209	2107	1242	1105	1079
Prkci	2650	2849	2487	1533	2088	2140
Prkcq	406	433	445	316	211	182
Prkcsh	2012	2224	2293	1454	1557	1340
Prkcz	1221	1096	1090	721	967	842
Prkd1	526	478	406	297	278	336
Prkd2	1844	2200	2270	1292	1181	998
Prkd3	1956	2554	2168	1099	1308	1206
Prkdc	350	443	356	198	289	208
Prkg1	251	293	198	136	166	146
Prkg2	613	507	609	393	545	517
Prkra	459	461	531	271	290	297
Prkrip1	370	399	442	224	322	314
Prkrir	1953	2110	2027	1051	1262	1180
Prkx	1398	1540	1575	791	963	888
Prl	0	0	0	0	0	0
Prl2a1	0	0	0	0	0	0
Prl2b1	0	0	0	0	0	0
Prl2c1	0	0	0	0	0	0
Prl2c2	0	0	0	0	0	0
Prl2c3	0	0	0	0	0	0
Prl2c5	0	0	0	0	0	0
Prl3a1	0	0	0	0	0	0
Prl3b1	0	0	0	0	0	0
Prl3c1	0	0	0	0	0	0
Prl3d1	0	0	0	0	0	0
Prl3d2	0	0	0	0	0	0
Prl3d3	0	0	0	0	0	0
Prl4a1	0	0	0	0	0	0
Prl5a1	0	0	0	0	0	0
Prl6a1	0	0	0	0	0	0
Prl7a1	0	0	0	0	0	0
Prl7a2	0	0	0	0	0	0
Prl7b1	0	0	0	0	0	0
Prl7c1	0	0	0	0	0	0
Prl7d1	0	0	0	0	0	0
Prl8a1	0	0	0	0	1	0
Prl8a2	0	0	0	0	0	0
Prl8a6	0	0	0	0	0	0
Prl8a8	0	0	0	0	0	0
Prl8a9	0	0	0	0	0	0
Prlh	0	1	0	0	0	3
Prlhr	0	0	0	0	0	0
Prlr	28	28	17	14	23	18
Prm1	0	0	0	0	0	1
Prm2	0	0	0	0	0	0
Prm3	0	0	1	0	0	0
Prmt1	1728	1657	1922	1095	902	993
Prmt10	324	367	307	194	174	170
Prmt2	1407	1481	1440	909	1174	1053
Prmt3	299	314	315	177	175	161
Prmt5	794	781	845	557	566	499
Prmt6	251	272	316	189	164	148
Prmt7	475	445	565	317	359	300
Prmt8	184	189	203	83	175	211
Prnd	0	2	1	0	0	0
Prnp	3378	3178	2998	1863	2215	2160
Prob1	714	745	657	510	648	585
Proc	39	12	24	17	20	32
Proca1	102	85	85	57	75	61
Procr	116	116	113	57	94	97
Prodh	263	251	215	208	202	215
Prodh2	0	0	0	0	0	0
Prok1	0	0	0	0	0	0
Prok2	1	5	10	0	0	1
Prokr1	29	24	21	8	18	20
Prokr2	0	2	2	0	0	0
Prol1	0	0	0	0	0	0
Prom1	792	750	635	452	512	556
Prom2	50	31	30	28	38	36
Prop1	0	0	0	0	0	0
Prorsd1	220	204	193	135	141	147
Pros1	2282	2363	2336	1298	1364	1490
Prosc	740	755	789	486	494	413
Proscos	3	1	0	1	2	0
Proser1	497	537	540	311	331	325
Proser2	158	156	141	102	103	119
Proser3	156	147	167	82	121	96
Prox1	101	83	69	51	50	57
Prox1os	1	0	0	0	1	1
Prox2	68	48	51	32	39	25
Prox2os	13	8	10	3	9	8
Proz	28	19	29	10	22	16
Prp2	0	0	0	0	0	0
Prpf18	1381	1721	1529	766	913	860
Prpf19	2123	2285	2410	1487	1536	1312
Prpf3	500	508	666	302	297	245
Prpf31	836	762	903	501	577	583
Prpf38a	477	483	458	283	273	280
Prpf38b	1612	1720	1954	1134	1308	1434
Prpf39	525	590	417	289	336	379
Prpf4	561	574	564	275	337	336
Prpf40a	1792	1968	1886	1144	1326	1567
Prpf40b	785	712	708	610	662	624
Prpf4b	1471	1736	1492	879	995	1047
Prpf6	1666	1544	1572	1105	1353	1226
Prpf8	4336	4925	4581	2950	3036	2659
Prph	21	1	6	7	5	3
Prph2	1	0	0	0	0	1
Prps1	651	616	722	361	498	486
Prps1l1	0	0	0	0	0	0
Prps1l3	343	341	327	125	161	173
Prps2	1167	1185	1030	684	822	700
Prpsap1	980	1050	1040	604	637	681
Prpsap2	412	335	492	251	270	237
Prr11	98	280	292	26	33	24
Prr12	1346	1235	1392	1026	1185	973
Prr13	2432	2613	3255	1566	2118	2105
Prr14	1148	1176	1211	830	835	770
Prr14l	671	831	742	355	498	370
Prr15	162	177	175	138	158	96
Prr15l	2528	2222	2135	1529	1938	1902
Prr16	54	53	42	16	30	35
Prr18	335	381	314	204	254	231
Prr19	0	0	0	0	0	0
Prr22	6	2	7	2	1	2
Prr23a	0	0	0	0	0	0
Prr27	0	0	0	0	0	0
Prr3	237	195	231	176	155	163
Prr30	0	0	0	0	0	0
Prr32	0	0	0	0	0	0
Prr33	1	1	0	1	0	0
Prr5	187	158	162	158	92	92
Prr5l	984	851	949	578	597	494
Prr7	50	67	69	33	58	39
Prr9	2	0	0	0	0	0
Prrc1	1537	1415	1514	958	1050	968
Prrc2a	6370	6669	7380	4525	5355	4342
Prrc2b	4912	5147	4941	3298	4172	3367
Prrc2c	3481	3912	3412	2414	2743	2659
Prrg1	213	373	215	123	99	135
Prrg2	535	527	562	397	410	351
Prrg3	1731	1737	1525	920	1327	1036
Prrg4	63	41	46	27	35	22
Prrt1	29	40	55	41	57	49
Prrt2	2	2	2	1	4	2
Prrt3	2	1	1	2	0	1
Prrt4	178	169	163	147	201	169
Prrx1	359	342	301	192	213	233
Prrx2	18	15	12	19	22	17
Prrxl1	0	0	1	0	0	0
Prss1	0	0	0	0	0	0
Prss12	301	406	489	233	221	209
Prss16	2	4	4	3	4	6
Prss2	1	0	2	0	2	0
Prss21	0	0	0	0	0	0
Prss22	4	4	3	1	1	1
Prss23	1427	1543	1386	940	987	1030
Prss23os	0	0	0	0	0	0
Prss27	3	3	4	1	4	0
Prss28	0	0	0	0	0	0
Prss29	0	0	0	0	0	0
Prss3	0	0	0	0	0	0
Prss30	15	25	29	16	30	15
Prss32	2	0	0	0	0	0
Prss33	0	0	0	0	0	0
Prss34	31	51	48	11	8	3
Prss35	94	80	84	52	55	38
Prss36	126	93	89	79	72	76
Prss37	0	0	0	0	0	0
Prss38	0	0	0	0	0	0
Prss39	1	1	0	0	0	0
Prss40	0	0	0	0	0	0
Prss41	5	0	3	3	6	5
Prss42	0	0	0	0	0	0
Prss43	0	0	0	0	0	0
Prss44	0	0	0	0	0	0
Prss45	1	0	0	0	0	0
Prss46	0	1	0	0	0	0
Prss47	0	0	0	0	0	0
Prss48	0	0	1	0	1	0
Prss50	1	1	0	1	0	2
Prss51	0	0	1	0	0	0
Prss52	0	0	0	0	0	0
Prss53	4	8	8	4	6	4
Prss54	0	0	0	0	0	0
Prss55	0	0	1	1	0	0
Prss56	0	0	0	0	0	0
Prss57	2	2	4	2	2	2
Prss58	0	0	0	0	0	0
Prss8	1907	1663	1701	1570	1742	1513
Prtg	4	7	8	4	2	1
Prtn3	49	44	70	13	25	3
Prune	721	656	701	431	484	446
Prune2	104	105	96	60	69	71
Prx	6359	7795	7836	4862	4152	4019
Psap	23327	30056	34357	14765	16526	13664
Psapl1	9	10	5	2	3	4
Psat1	442	505	612	228	199	231
Psca	2	1	1	0	2	1
Psd	29	31	15	20	27	12
Psd2	6	10	5	5	0	0
Psd3	901	1046	856	503	702	654
Psd4	642	867	946	441	481	302
Psen1	1635	1875	1908	1045	1183	939
Psen2	810	746	718	496	594	600
Psenen	1190	876	1152	717	769	742
Psg16	2	0	1	0	2	1
Psg17	3	2	2	1	4	5
Psg18	0	0	0	0	0	0
Psg19	0	0	0	0	0	0
Psg20	0	0	0	0	0	3
Psg21	0	0	0	0	0	0
Psg22	0	0	0	0	0	0
Psg23	0	0	0	0	0	0
Psg25	0	0	0	0	0	0
Psg26	0	0	0	0	0	0
Psg27	0	0	0	0	0	0
Psg28	0	0	0	0	0	0
Psg29	0	0	0	0	0	0
Psip1	1023	1146	1171	632	743	863
Pskh1	634	552	634	436	505	447
Psma1	2223	2171	2592	1137	1251	1105
Psma2	2030	1940	2224	1235	1244	1245
Psma3	861	907	881	504	475	617
Psma4	1741	1793	2020	1044	1112	1014
Psma5	485	542	540	347	353	356
Psma6	1456	1668	1528	882	770	994
